signal,horizon_days,n_independent,n_effective,testable,gross_hit_rate,brier,mean_gross_bps,mean_net_bps,p_hit,p_excess,mean_excess_bps,hit_fdr,excess_fdr
momentum_60d,3,7465,642.25,True,0.501139,0.417485,16.8155,7.8155,0.87457171,0.56816205,16.8466,False,False
momentum_60d,7,3192,275.25,True,0.501253,0.416562,53.0504,44.0504,0.80957307,0.44526244,52.4370,False,False
momentum_60d,14,1592,137.62,True,0.494347,0.418660,120.8180,111.8180,0.67060340,0.38886485,122.2578,False,False
momentum_60d,30,738,64.22,True,0.525745,0.389853,146.8151,137.8151,0.90116330,0.71781860,143.4367,False,False
momentum_60d,60,365,32.11,True,0.531507,0.392550,65.2742,56.2742,1.00000000,0.95289439,50.6184,False,False
momentum_60d,90,238,21.41,False,0.558824,0.361800,303.3513,294.3513,0.83015867,0.94496635,81.9372,False,False
momentum_120d,3,7066,642.25,True,0.503397,0.444098,17.5905,8.5905,0.87459998,0.55506163,17.5827,False,False
momentum_120d,7,3024,275.25,True,0.517196,0.431431,45.0548,36.0548,0.90402822,0.52988577,44.3584,False,False
momentum_120d,14,1506,137.62,True,0.509960,0.441515,87.9539,78.9539,0.86505872,0.55074174,86.6603,False,False
momentum_120d,30,698,64.22,True,0.498567,0.445109,22.9092,13.9092,0.70977023,0.95210584,24.1648,False,False
momentum_120d,60,345,32.11,True,0.501449,0.440552,-299.6138,-308.6138,0.72496175,0.73106760,-298.4092,False,False
momentum_120d,90,227,21.41,False,0.480176,0.468824,-873.3230,-882.3230,0.66859200,0.51328795,-876.4091,False,False
momentum_200d,3,6530,642.25,True,0.503982,0.459384,6.3978,-2.6022,0.87457265,0.83111502,6.4517,False,False
momentum_200d,7,2792,275.25,True,0.507880,0.455584,13.1134,4.1134,0.85656946,0.86018712,12.3485,False,False
momentum_200d,14,1392,137.62,True,0.488506,0.469569,28.8815,19.8815,0.44371195,0.86123150,25.3513,False,False
momentum_200d,30,645,64.22,True,0.494574,0.475534,-170.8670,-179.8670,0.70845379,0.60435812,-181.4695,False,False
momentum_200d,60,318,32.11,True,0.471698,0.498595,-548.5104,-557.5104,0.48376773,0.39298215,-610.8209,False,False
momentum_200d,90,210,21.41,False,0.409524,0.557143,-1165.8282,-1174.8282,0.38286036,0.30679048,-1238.9322,False,False
tsmom_30d,3,7465,642.25,True,0.505827,0.372121,32.4706,23.4706,0.93709162,0.28186805,31.7496,False,False
tsmom_30d,7,3192,275.25,True,0.499373,0.374064,45.7728,36.7728,0.80945101,0.52511108,43.6615,False,False
tsmom_30d,14,1592,137.62,True,0.491206,0.379783,79.6989,70.6989,0.73367845,0.58681263,77.1704,False,False
tsmom_30d,30,738,64.22,True,0.525745,0.363560,209.1337,200.1337,0.90062701,0.59633394,210.1172,False,False
tsmom_30d,60,365,32.11,True,0.561644,0.354932,323.4550,314.4550,0.72578162,0.67428881,359.6407,False,False
tsmom_30d,90,238,21.41,False,0.584034,0.322783,319.3712,310.3712,0.82863287,0.86451271,202.4815,False,False
tsmom_90d,3,7066,642.25,True,0.504953,0.383258,14.5985,5.5985,0.96852339,0.65146131,13.4567,False,False
tsmom_90d,7,3024,275.25,True,0.518188,0.375982,35.2352,26.2352,0.76335483,0.65072357,31.9765,False,False
tsmom_90d,14,1506,137.62,True,0.510624,0.390641,116.1730,107.1730,0.93217781,0.45131196,109.3611,False,False
tsmom_90d,30,698,64.22,True,0.492837,0.402055,102.1826,93.1826,0.80276016,0.80779151,97.8554,False,False
tsmom_90d,60,345,32.11,True,0.504348,0.389025,104.5808,95.5808,0.72642979,0.89193417,118.0439,False,False
tsmom_90d,90,227,21.41,False,0.466960,0.413308,-505.1953,-514.1953,0.66781484,0.67569165,-562.5182,False,False
tsmom_180d,3,6466,642.25,True,0.497835,0.384422,-19.3222,-28.3222,0.63585925,0.45910345,-22.3264,False,False
tsmom_180d,7,2765,275.25,True,0.492224,0.389906,-37.8549,-46.8549,0.46938520,0.51368482,-46.3623,False,False
tsmom_180d,14,1378,137.62,True,0.482583,0.394040,-84.6889,-93.6889,0.44455084,0.47751794,-103.2713,False,False
tsmom_180d,30,638,64.22,True,0.456113,0.413614,-286.3488,-295.3488,0.26362767,0.44507763,-311.2640,False,False
tsmom_180d,60,313,32.11,True,0.434505,0.427302,-661.1806,-670.1806,0.37630842,0.33225152,-744.8361,False,False
tsmom_180d,90,207,21.41,False,0.391304,0.461833,-1442.7065,-1451.7065,0.19779436,0.24701028,-1562.6446,False,False
vol_regime,3,7063,642.25,True,0.507999,0.340309,1.8058,-7.1942,0.69315999,0.97578965,-0.9129,False,False
vol_regime,7,3023,275.25,True,0.500827,0.343799,30.4625,21.4625,0.95192923,0.73120784,23.9197,False,False
vol_regime,14,1506,137.62,True,0.522576,0.324955,53.0461,44.0461,0.60972771,0.78277242,39.9345,False,False
vol_regime,30,698,64.22,True,0.551576,0.308035,471.0957,462.0957,0.45398262,0.27283285,447.7869,False,False
vol_regime,60,345,32.11,True,0.588406,0.287622,540.9478,531.9478,0.29563749,0.52084224,564.7636,False,False
vol_regime,90,227,21.41,False,0.537445,0.316550,675.7265,666.7265,1.00000000,0.63737713,650.7330,False,False
drawdown,3,5778,642.25,True,0.486501,0.427518,12.1020,3.1020,0.84355918,0.65019671,-13.4793,False,False
drawdown,7,2541,275.25,True,0.471074,0.432875,17.6136,8.6136,0.90394769,0.53761334,-40.7160,False,False
drawdown,14,1296,137.62,True,0.475309,0.428584,32.3529,23.3529,0.93216430,0.54900045,-82.8029,False,False
drawdown,30,617,64.22,True,0.455429,0.435344,124.6926,115.6926,0.90046102,0.69005911,-137.1692,False,False
drawdown,60,312,32.11,True,0.432692,0.458448,368.9324,359.9324,1.00000000,0.88530822,-115.5062,False,False
drawdown,90,207,21.41,False,0.425121,0.437008,477.8193,468.8193,1.00000000,0.82697844,-240.2176,False,False
funding_extreme,3,3980,642.25,True,0.514824,0.342840,-13.4319,-22.4319,0.47761346,0.76017916,-9.8761,False,False
funding_extreme,7,2143,275.25,True,0.506300,0.338552,-53.0699,-62.0699,0.95192929,0.51222828,-46.9560,False,False
funding_extreme,14,1257,137.62,True,0.496420,0.334409,-112.9928,-121.9928,1.00000000,0.48660138,-103.7975,False,False
funding_extreme,30,653,64.22,True,0.451761,0.368155,-369.6359,-378.6359,0.53281513,0.38827439,-339.8042,False,False
funding_extreme,60,338,32.11,True,0.491124,0.358132,-194.6300,-203.6300,1.00000000,0.84405198,-151.3397,False,False
funding_extreme,90,230,21.41,False,0.486957,0.337333,-373.0322,-382.0322,0.82886692,0.83089767,-297.2744,False,False
