signal,horizon,n_all,n_independent,gross_hit_rate,net_hit_rate,brier,brier_skill,mean_gross_bps,mean_net_bps,total_net_pct,p_hit_rate,p_net_return,p_gross_return,hit_fdr_significant,gross_fdr_significant,net_fdr_significant
rsi,1,186,186,0.564516,0.521505,0.258569,-0.034275,-5.3424,-14.3424,-26.6769,0.09144225,0.08834373,0.52415577,False,False,False
rsi,5,186,83,0.626506,0.614458,0.245010,0.019960,7.9068,-1.0932,-0.9073,0.02753418,0.96321876,0.73880493,False,False,False
rsi,20,186,60,0.550000,0.550000,0.254281,-0.017126,-32.4121,-41.4121,-24.8473,0.51895800,0.46789207,0.56959614,False,False,False
rsi,100,186,43,0.651163,0.627907,0.244256,0.022975,2.2006,-6.7994,-2.9238,0.06599403,0.95859227,0.98659315,False,False,False
rsi_momentum,1,14919,14919,0.479054,0.373148,0.270838,-0.083350,0.3194,-8.6806,-1295.0539,0.00000032,0.00000000,0.48942992,True,False,True
rsi_momentum,5,14907,2982,0.479209,0.433266,0.269638,-0.078552,-0.3964,-9.3964,-280.1995,0.02427892,0.00005044,0.86404615,False,False,True
rsi_momentum,20,14862,744,0.486559,0.469086,0.266523,-0.066093,12.4342,3.4342,25.5505,0.48609480,0.70728081,0.17420173,False,False,False
rsi_momentum,100,14622,147,0.374150,0.367347,0.281709,-0.126834,-33.8892,-42.8892,-63.0471,0.00285742,0.32815566,0.43945152,True,False,False
macd_histogram,1,14829,14829,0.485670,0.378313,0.287797,-0.151190,0.0618,-8.9382,-1325.4479,0.00049756,0.00000000,0.89383248,True,False,True
macd_histogram,5,14817,2964,0.484818,0.437584,0.285852,-0.143407,1.2599,-7.7401,-229.4176,0.10208569,0.00082728,0.58594321,False,False,True
macd_histogram,20,14772,741,0.514170,0.491228,0.284455,-0.137819,21.3370,12.3370,91.4174,0.46253430,0.17699741,0.01969622,False,False,False
macd_histogram,100,14532,147,0.510204,0.489796,0.280681,-0.122722,25.1348,16.1348,23.7182,0.86904997,0.72783842,0.58784805,False,False,False
ema_cross,1,14829,14829,0.487693,0.380201,0.359746,-0.438983,-0.0945,-9.0945,-1348.6270,0.00279647,0.00000000,0.83821816,True,False,True
ema_cross,5,14817,2964,0.483468,0.429150,0.364544,-0.458176,-1.4179,-10.4179,-308.7862,0.07478169,0.00000690,0.53984275,False,False,True
ema_cross,20,14772,741,0.435897,0.411606,0.395802,-0.583207,-6.9542,-15.9542,-118.2205,0.00054533,0.08195585,0.44795567,True,False,False
ema_cross,100,14532,147,0.482993,0.469388,0.375681,-0.502724,-58.0277,-67.0277,-98.5307,0.74159194,0.14786133,0.20986289,False,False,False
bollinger_percent_b,1,1860,1860,0.525806,0.440860,0.271805,-0.087221,-2.4454,-11.4454,-212.8847,0.02758487,0.00000000,0.14324378,False,False,True
bollinger_percent_b,5,1858,780,0.521795,0.476923,0.269987,-0.079950,-5.6895,-14.6895,-114.5782,0.23734882,0.00380480,0.26125580,False,False,True
bollinger_percent_b,20,1855,488,0.495902,0.481557,0.278637,-0.114548,-14.4665,-23.4665,-114.5167,0.89199458,0.06422241,0.25340677,False,False,False
bollinger_percent_b,100,1826,132,0.553030,0.553030,0.257121,-0.028483,-36.8913,-45.8913,-60.5766,0.25776109,0.35264284,0.45468480,False,False,False
atr_momentum,1,14876,14876,0.481716,0.376244,0.385495,-0.541979,0.3154,-8.6846,-1291.9189,0.00000849,0.00000000,0.49508772,True,False,True
atr_momentum,5,14864,2976,0.487903,0.438844,0.378602,-0.514406,-1.4296,-10.4296,-310.3858,0.19308106,0.00000589,0.53390994,False,False,True
atr_momentum,20,14819,744,0.475806,0.455645,0.386724,-0.546897,12.4976,3.4976,26.0223,0.19940275,0.70179460,0.17150839,False,False,False
atr_momentum,100,14580,147,0.421769,0.414966,0.444876,-0.779503,-7.8774,-16.8774,-24.8098,0.06923251,0.70075654,0.85762016,False,False,False
obv_divergence,1,3006,3006,0.500333,0.381238,0.272123,-0.088491,1.1382,-7.8618,-236.3267,0.98544844,0.00000000,0.21175065,False,False,True
obv_divergence,5,3006,751,0.527297,0.460719,0.266388,-0.065551,4.8169,-4.1831,-31.4153,0.14434401,0.32146269,0.25364432,False,False,False
obv_divergence,20,3006,335,0.531343,0.516418,0.270556,-0.082224,11.4731,2.4731,8.2849,0.27449546,0.85621490,0.40081512,False,False,False
obv_divergence,100,2964,120,0.508333,0.500000,0.249847,0.000613,-15.6402,-24.6402,-29.5683,0.92731502,0.64531780,0.77010662,False,False,False
funding_rate,1,15003,15003,0.496967,0.387123,0.254108,-0.016432,-0.2949,-9.2949,-1394.5152,0.46247862,0.00000000,0.52290900,False,False,True
funding_rate,5,14991,3000,0.492333,0.448667,0.254857,-0.019428,-2.2427,-11.2427,-337.2823,0.41131802,0.00000056,0.31722183,False,False,True
funding_rate,20,14946,750,0.522667,0.498667,0.250309,-0.001235,5.9377,-3.0623,-22.9676,0.22818401,0.74320455,0.52532783,False,False,False
funding_rate,100,14706,150,0.520000,0.520000,0.251972,-0.007887,9.3519,0.3519,0.5278,0.68323176,0.99408730,0.84387636,False,False,False
